ticker,promoter_pledge_pct,promoter_holding_pct,fii_delta_qoq,dii_delta_qoq,mf_delta_qoq,auditor_qualified,rpt_concern,note
TEJASNET,0.0,53.33,0.53,-0.28,,,,
TENNIND,0.0,74.79,0.75,-1.13,,,,
THELEELA,73.6,75.91,-0.75,1.0,,,,
THERMAX,0.0,61.99,0.21,-0.27,,,,
TIINDIA,0.0,43.93,0.93,-0.74,,,,
TIMKEN,0.0,51.05,0.36,-0.37,,,,
TITAGARH,0.0,40.46,0.2,2.92,,,,
TITAN,0.0,52.9,-0.26,0.31,,,,
TMCV,0.0,42.56,-0.45,0.61,,,,
TMPV,0.0,42.51,-0.18,0.18,,,,
TORNTPHARM,0.0,68.31,-0.74,0.77,,,,
TORNTPOWER,0.0,51.09,0.13,-0.13,,,,
TRAVELFOOD,0.0,86.19,0.1,0.31,,,,
TRENT,0.0,37.01,-0.45,0.88,,,,
TRIDENT,0.0,73.68,0.11,0.03,,,,
TRITURBINE,0.0,55.84,-0.23,-0.53,,,,
TTML,0.0,74.36,-0.08,0.01,,,,
TVSMOTOR,0.0,50.27,-2.11,2.28,,,,
UBL,0.0,70.84,-0.07,-0.29,,,,
UCOBANK,0.0,90.95,-0.02,-0.09,,,,
ULTRACEMCO,0.0,59.33,-1.25,1.27,,,,
UNIONBANK,0.0,74.76,-0.74,0.46,,,,
UNITDSPR,0.0,56.68,-1.52,1.78,,,,
UNOMINDA,0.0,68.36,-0.81,0.63,,,,
UPL,0.0,33.5,0.61,-0.31,,,,
URBANCO,0.0,19.02,-0.49,0.68,,,,
USHAMART,0.0,40.28,0.33,0.45,,,,
VBL,0.0,59.43,-0.48,0.81,,,,
VEDL,0.0,54.72,1.85,-2.6,,,,
VIJAYA,0.0,52.51,-1.73,1.68,,,,
VMM,0.0,40.09,-1.58,2.06,,,,
VOLTAS,0.0,30.3,-1.5,0.65,,,,
VTL,0.0,65.08,0.38,-1.32,,,,
WAAREEENER,0.0,64.12,1.51,-0.24,,,,
WELCORP,0.0,49.73,3.38,-1.53,,,,
WELSPUNLIV,0.0,66.36,0.22,0.2,,,,
WHIRLPOOL,0.0,39.76,1.02,-1.67,,,,
WIPRO,0.0,72.59,0.53,-2.64,,,,
WOCKPHARMA,0.0,49.09,0.14,-1.72,,,,
YESBANK,0.0,0.0,-0.3,2.23,,,,
ZEEL,0.0,3.99,-5.22,-2.98,,,,
ZENSARTECH,0.0,49.0,0.22,-1.68,,,,
ZENTEC,0.0,48.51,0.48,0.36,,,,
ZFCVINDIA,0.0,60.0,0.14,-0.76,,,,
ZYDUSLIFE,0.0,75.02,-0.06,0.07,,,,
ZYDUSWELL,0.0,69.63,0.15,0.26,,,,
